Date;Open*;High;Low;Close**;Volume;Market Cap
Sep 23, 2021;$1.00;$1.02;$0.9705;$1.00;$3,734,263,358;$46,812,952,763
Sep 22, 2021;$0.8738;$1.01;$0.8696;$1.00;$4,813,963,292;$46,908,062,027
Sep 21, 2021;$0.9223;$0.9593;$0.8607;$0.8763;$4,787,985,414;$40,940,000,991
Sep 20, 2021;$1.05;$1.05;$0.8879;$0.9172;$5,775,337,511;$42,759,674,555
Sep 19, 2021;$1.08;$1.08;$1.04;$1.05;$2,148,537,763;$48,880,060,224
Sep 18, 2021;$1.07;$1.09;$1.06;$1.08;$2,308,814,476;$50,150,029,617
Sep 17, 2021;$1.09;$1.10;$1.05;$1.07;$2,989,925,804;$49,680,556,383
Sep 16, 2021;$1.12;$1.13;$1.07;$1.09;$3,168,621,354;$50,888,059,286
Sep 15, 2021;$1.10;$1.13;$1.08;$1.12;$2,997,048,680;$52,279,978,058
Sep 14, 2021;$1.07;$1.10;$1.06;$1.10;$3,378,813,327;$51,124,757,110
Sep 13, 2021;$1.12;$1.13;$1.03;$1.06;$4,391,908,806;$49,598,337,464
Sep 12, 2021;$1.08;$1.13;$1.06;$1.12;$3,403,286,576;$52,158,563,411
Sep 11, 2021;$1.06;$1.11;$1.05;$1.08;$3,986,494,412;$50,307,743,576
Sep 10, 2021;$1.09;$1.24;$1.03;$1.06;$7,726,257,543;$49,253,083,573
Sep 09, 2021;$1.09;$1.14;$0.8383;$1.09;$5,171,653,352;$50,750,034,997
Sep 08, 2021;$1.13;$1.15;$1.02;$1.10;$7,367,876,460;$51,277,350,704
Sep 07, 2021;$1.39;$1.39;$0.9755;$1.13;$11,310,427,430;$52,364,743,398
Sep 06, 2021;$1.31;$1.41;$1.31;$1.39;$7,403,887,685;$64,666,529,505
Sep 05, 2021;$1.26;$1.31;$1.24;$1.31;$4,077,886,190;$60,760,906,595
Sep 04, 2021;$1.29;$1.30;$1.24;$1.26;$4,284,360,888;$58,446,890,874
Sep 03, 2021;$1.25;$1.32;$1.23;$1.29;$5,896,982,947;$60,106,394,915
Sep 02, 2021;$1.24;$1.29;$1.22;$1.26;$5,456,908,792;$58,472,249,963
Sep 01, 2021;$1.19;$1.23;$1.16;$1.23;$4,937,053,998;$57,474,640,800
Aug 31, 2021;$1.10;$1.24;$1.09;$1.19;$5,897,781,233;$55,273,333,181
Aug 30, 2021;$1.14;$1.15;$1.10;$1.10;$3,635,181,352;$51,231,708,606
Aug 29, 2021;$1.15;$1.17;$1.12;$1.14;$3,456,541,619;$53,064,210,217
Aug 28, 2021;$1.19;$1.20;$1.14;$1.15;$3,655,937,721;$53,281,544,266
Aug 27, 2021;$1.07;$1.19;$1.05;$1.19;$5,062,671,613;$55,280,177,531
Aug 26, 2021;$1.17;$1.19;$1.07;$1.08;$4,914,724,770;$50,014,517,959
Aug 25, 2021;$1.14;$1.18;$1.11;$1.17;$4,735,020,572;$54,538,542,684
Aug 24, 2021;$1.25;$1.26;$1.13;$1.14;$6,109,699,877;$52,902,333,464
Aug 23, 2021;$1.23;$1.30;$1.22;$1.25;$6,299,948,689;$57,962,916,947
Aug 22, 2021;$1.22;$1.25;$1.18;$1.23;$4,452,016,856;$57,054,490,733
Aug 21, 2021;$1.26;$1.28;$1.21;$1.22;$4,955,470,066;$56,531,735,090
Aug 20, 2021;$1.23;$1.29;$1.20;$1.26;$6,600,353,564;$58,704,239,544
Aug 19, 2021;$1.14;$1.23;$1.09;$1.23;$6,781,867,994;$57,292,421,910
Aug 18, 2021;$1.10;$1.19;$1.06;$1.15;$7,559,385,803;$53,261,223,014
Aug 17, 2021;$1.19;$1.22;$1.09;$1.10;$7,620,119,367;$50,975,782,194
Aug 16, 2021;$1.28;$1.33;$1.15;$1.19;$8,364,848,221;$55,283,063,915
Aug 15, 2021;$1.28;$1.35;$1.23;$1.29;$10,899,164,864;$59,793,290,471
Aug 14, 2021;$1.09;$1.31;$1.07;$1.28;$12,107,814,480;$59,433,670,765
Aug 13, 2021;$0.9671;$1.09;$0.9526;$1.09;$6,425,779,147;$50,593,330,595
Aug 12, 2021;$1.01;$1.04;$0.9247;$0.9645;$7,613,283,957;$44,772,072,920
Aug 11, 2021;$0.8513;$1.09;$0.8487;$1.01;$8,213,874,830;$46,998,944,149
Aug 10, 2021;$0.8173;$0.8616;$0.8006;$0.8512;$4,002,349,584;$39,512,827,527
Aug 09, 2021;$0.779;$0.8274;$0.7609;$0.8186;$3,739,417,343;$37,995,293,623
Aug 08, 2021;$0.8167;$0.8384;$0.7732;$0.7787;$3,954,749,759;$36,147,218,021
Aug 07, 2021;$0.7471;$0.818;$0.7414;$0.8163;$4,067,148,040;$37,889,814,540
Aug 06, 2021;$0.733;$0.7521;$0.724;$0.7465;$2,444,020,492;$34,651,347,982
Aug 05, 2021;$0.7309;$0.7386;$0.7024;$0.7332;$2,387,435,275;$33,991,279,560
Aug 04, 2021;$0.7136;$0.7392;$0.6978;$0.7305;$2,796,312,041;$33,867,793,512
Aug 03, 2021;$0.7385;$0.7444;$0.7019;$0.7127;$2,857,095,374;$33,008,209,337
Aug 02, 2021;$0.7241;$0.7733;$0.7168;$0.7392;$2,648,561,558;$34,235,061,801
