created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Sep 22, 2021;1,44078E+18;44196397;@BillyM2k Super important for Doge fees to drop to make things like buying movie tix viable;[{'type': 'replied_to', 'id': '1440771185231294470'}];4258;2291;24372;450;[];['BillyM2k'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;0;1;0;0;0
Jul 17, 2021;1,41644E+18;44196397;@AshleyIllusion1 @lexfridman Lil X is hodling his Doge like a champ. Literally never said the word “sell” even once!;[{'type': 'replied_to', 'id': '1416440340999979011'}];2828;1259;14972;263;[];['AshleyIllusion1', 'lexfridman'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;1;0;0;0
Jul 09, 2021;1,4134E+18;44196397;"@MattWallace888 BTC &amp; ETH are pursuing a multilayer transaction system, but base layer transaction rate is slow &amp; transaction cost is high.

There is merit imo to Doge maximizing base layer transaction rate &amp; minimizing transaction cost with exchanges acting as the de facto secondary layer.";[{'type': 'replied_to', 'id': '1413355442475085825'}];6620;6882;27154;1516;[];['MattWallace888'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;0;1;0;0;0
May 24, 2021;1,39693E+18;44196397;Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha;[{'type': 'replied_to', 'id': '1396916392629137409'}];12139;8237;130933;1048;[];[];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;1;0;0;0
May 20, 2021;1,39544E+18;44196397;@heydave7 A longtime Tesla supporter gave me the Doge dollar sticker at Giga Berlin;[{'type': 'replied_to', 'id': '1395374865495072775'}];2765;973;23836;136;[];['heydave7'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;0;1;0;0;0
May 20, 2021;1,39533E+18;44196397;How much is that Doge in the window? https://t.co/bxTkWOr50V;;53886;72307;308365;8084;[];[];[None];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;0;0;0;1
May 16, 2021;1,394E+18;339061487;@elonmusk @PeterMcCormack I double Doge dare you to do it!;[{'type': 'replied_to', 'id': '1393979913624072194'}];170;164;3402;7;[];['elonmusk', 'PeterMcCormack'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;0;0;0;0
May 16, 2021;1,39375E+18;44196397;@long_elon @itsALLrisky Only if Doge can’t do it. Big pain in the neck to create another one.;[{'type': 'replied_to', 'id': '1393745905958879235'}];4253;4948;23570;796;[];['long_elon', 'itsALLrisky'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;0;0;0;0
May 16, 2021;1,39374E+18;44196397;"@itsALLrisky Ideally, Doge speeds up block time 10X, increases block size 10X &amp; drops fee 100X. Then it wins hands down.";[{'type': 'replied_to', 'id': '1393434140817510405'}];13763;10497;55721;3997;[];['itsALLrisky'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;1;0;0;0
May 13, 2021;1,39297E+18;44196397;Working with Doge devs to improve system transaction efficiency. Potentially promising.;;84604;65429;543966;21032;[];[];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;1;0;0;0
May 07, 2021;1,39081E+18;339061487;"Wall Street: Dogecoin is overvalued!

Also Wall Street: Look at this single location deli that we have valued at $2 billion!

More Wall Street: Here is a pre-product, pre-revenue battery company at $18 billion!

Don't fall for the nonsense. The stock market is full of shitcoins.";;1191;287;8502;79;[];[];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;0;0;0;0
May 05, 2021;1,38998E+18;9,02839E+17;All #TRX, #BTT #WIN #JST #SUN holders will get #Dogecoin reward by #defi mining in #TRON. https://t.co/nCPYQK55Pb;[{'type': 'quoted', 'id': '1389976610384728070'}];1677;430;3674;83;['TRX', 'BTT', 'WIN', 'JST', 'SUN', 'Dogecoin', 'defi', 'TRON'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;1;0;0;1
May 05, 2021;1,38998E+18;9,02839E+17;"#TRON will become the first #Defi blockchain protocol to support #dogecoin. You can deposit$trade Dogecoin with #USDT and earn interest on https://t.co/Y2sDxbLmiR &amp; https://t.co/AzvfhEjc3G. Doge on #TRX swap will be supported by @Poloniex.  @elonmusk @dogecoin #doge";;2722;762;9025;182;['TRON', 'Defi', 'dogecoin', 'USDT', 'TRX', 'doge'];['Poloniex', 'elonmusk', 'dogecoin'];[None, None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;1;0;0;1
May 05, 2021;1,38991E+18;339061487;"LMAO dogecoin eventually hit $0.69

We live in a simulation.";;655;356;8833;56;[];[];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;0;0;0;0
Apr 15, 2021;1,38255E+18;44196397;@WSBChairman Doge Barking at the Moon – Miro https://t.co/1vTM2XOusy;[{'type': 'replied_to', 'id': '1382549490599616512'}];2583;848;21213;187;[];['WSBChairman'];[None];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;0;0;0;1
Apr 01, 2021;1,37757E+18;44196397;SpaceX is going to put a literal Dogecoin on the literal moon;;51553;25295;536701;8299;[];[];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;0;0;0;0
Mar 13, 2021;1,37088E+18;44196397;"Origin of Doge Day Afternoon:
The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.";[{'type': 'replied_to', 'id': '1370882536101056523'}];7652;2417;75470;531;[];[];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;0;0;0;0
Feb 10, 2021;1,35952E+18;44196397;Bought some Dogecoin for lil X, so he can be a toddler hodler;;57353;28066;538182;9248;[];[];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;1;0;0;0
Feb 08, 2021;1,35865E+18;44196397;"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.

Transaction speed of Doge should ideally be a few orders of magnitude faster.";[{'type': 'replied_to', 'id': '1358504050010935296'}];3448;1151;15237;564;[];['itsALLrisky'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;1;0;0;0
Feb 08, 2021;1,35859E+18;339061487;"LMAO @PeterSchiff is now claiming that Dogecoin is going to disrupt Bitcoin.

You can’t make this stuff up.";;351;547;6852;62;[];['PeterSchiff'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;1;0;0;0
Feb 07, 2021;1,35854E+18;44196397;?? Who let the Doge out ??;;110917;26392;772058;12097;[];[];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;0;0;0;0
Feb 04, 2021;1,35733E+18;24222556;#DOGE is man and woman's best friend;;718;240;3275;63;['DOGE'];[];[];[];https://t.co/WWUfsWBW3I;TRUE;#bitcoin;tyler;Tyler Winklevoss;2009-03-13T18:31:13.000Z;867967;2569;11229;6959;1;0;0;0;0
Feb 04, 2021;1,35733E+18;24222556;I’m a #DOGE lover;;1092;507;6165;138;['DOGE'];[];[];[];https://t.co/WWUfsWBW3I;TRUE;#bitcoin;tyler;Tyler Winklevoss;2009-03-13T18:31:13.000Z;867967;2569;11229;6959;1;0;0;0;0
