created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Sep 23, 2021;1,44108E+18;9,36286E+17;"The new global digital economy needs trailblazers that also set responsible standards in #Bitcoin and beyond.
We're ready, are you? https://t.co/64fkAT9yQY 
#btc #eth #defi #cryptocurrency https://t.co/mQuoLaTSsS";;9;0;76;0;['Bitcoin', 'btc', 'eth', 'defi', 'cryptocurrency'];[];[None, None];[];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;1;0;0;0;1
Sep 18, 2021;1,43903E+18;339061487;"@Iso_IX @sassal0x This summarizes my thoughts on the issue best. Another data point that the ETH maxis hate to admit because screaming about “Bitcoin maxi” is a better story for their narrative ???????

https://t.co/uNnhsb3gIb";[{'type': 'replied_to', 'id': '1439031543989735427'}];0;0;5;0;[];['Iso_IX', 'sassal0x'];[None];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;0;0;0;1
Sep 18, 2021;1,43903E+18;339061487;"@Iso_IX @sassal0x I have people who are outside the bitcoin ecosystem on the podcast all the time. I’ve also made investments in a number of companies that support various chains like Risk Harbor, OpenNode, etc. Was into NFTs before most ETH folks knew what they were.

ETH maxi hate those facts ???????";[{'type': 'replied_to', 'id': '1439026000839516165'}];0;4;7;0;[];['Iso_IX', 'sassal0x'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;1;0;0;0
Sep 03, 2021;1,43378E+18;9,02839E+17;(7/9) As a layer 2 network, #BTTC features full compatibility with EVM. #TRON has invested $450M in #DeFi mining and will go the extra and join in the arms race of the EVM public chain by shelling out $1 billion to spur the migration of more projects from #Ethereum to #BTTC.;[{'type': 'replied_to', 'id': '1433778278767095814'}];79;9;331;5;['BTTC', 'TRON', 'DeFi', 'Ethereum', 'BTTC'];[];[];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;0
Sep 03, 2021;1,4337E+18;9,02839E+17;".@VitalikButerin you ask why can’t we, I say why not? Therefore, I’ll auction my #EtherRock (ID #87) for limited 10 days only at 799.99 ETH &amp; donate the proceeds to Vitalik’s choice of life extension organization. I am fully committed, seriously. Go here: https://t.co/YNTzr36p4O https://t.co/abLq1dLbXv";;1276;167;2978;12;['EtherRock'];['VitalikButerin'];[None, None, None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;0;1;0;1
Sep 01, 2021;1,4331E+18;9,02839E+17;"I just spent 569 #ETH ($2M USD) on three Digital Zones Edition 83,8&amp;92 from @mitchellfchan and donated it to @apenftorg as a collection. You can check on my opensea collection https://t.co/DtBEPAzI3n #NFT https://t.co/qtObRvKA58";;1447;2504;3050;19;['ETH', 'NFT'];['mitchellfchan', 'apenftorg'];[None, None, None, None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;1;0;0;1
Aug 23, 2021;1,42985E+18;339061487;"@RealAllenHena ETH is the currency of that network. Nothing wrong with that. But there are periodic decisions made to expand or contract the supply. So far, almost every decision has been to decrease it, but the fact that it is not programmatic &amp; certain means that it can't be sound money.";[{'type': 'replied_to', 'id': '1429845474887049216'}];1;3;2;0;[];['RealAllenHena'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;1;0;0;0
Aug 23, 2021;1,4296E+18;339061487;@jabraham61 The ethereum maximalists are committing one of the cardinal sins of technology investing. I cover that in the letter too.;[{'type': 'replied_to', 'id': '1429599833157947394'}];0;0;1;0;[];['jabraham61'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;0;0;1;0;0
Aug 19, 2021;1,42834E+18;339061487;"@21million849 It is weird when people say things like this. Ethereum is $350 billion network that the free market has determined has value. Anyone arguing over that is being intellectually dishonest or is confused.

The debate most have is what will happen in the future, not what is true today";[{'type': 'replied_to', 'id': '1428340574038396934'}];2;6;43;1;[];[];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;0;0;0;0
Aug 18, 2021;1,42801E+18;9,02839E+17;According to the @CryptoRank_io professional blockchain data platform, the Total Value Locled (#TVL) of the #TRON public chain exceeded $10.1 billion, ranking third place among other multiple blockchains after Ethereum and Binance Smart Chain blockchains. https://t.co/LbiVhDU63S;;1400;202;3039;17;['TVL', 'TRON'];['CryptoRank_io'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
