created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Aug 13, 2020;1,29381E+18;9,02839E+17;"#Ethereum's gas fee has skyrocketed! #DeFi on #TRON has lower fees &amp; 200x faster speed w/ instant settlement! It's been proven that #USDT TRC20 &amp; Dapps on #TRON is best! #Defi developers wanting better outcome for users should use #TRON. #TRX $TRX #JUST $JST";;358;134;1166;34;['Ethereum', 'DeFi', 'TRON', 'USDT', 'TRON', 'Defi', 'TRON', 'TRX', 'JUST'];[];[];[None, None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;1;0;0;0
Aug 13, 2020;1,29375E+18;9,02839E+17;"#TRONchievement Aug 3- Aug 7

?3.9 billion #TRC20-#USDT on TRON &amp; 650k addresses
?@Poloniex had their 1st successful meetup in China
?According to @TRONSCAN_ORG, #TRON Blockheight exceeded 20M
#TRX $TRX https://t.co/tsEIOtKK7S";;224;17;398;5;['TRONchievement', 'TRC20', 'USDT', 'TRON', 'TRX'];['Poloniex', 'TRONSCAN_ORG'];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;0;0;0;1
Aug 02, 2020;1,28974E+18;9,02839E+17;"The circulation amount of #TRC20-#USDT issued by 
@Tether_to on #TRON network exceeded 3.7 Billion???????????? https://t.co/KFUwXOjXk5";;295;22;908;9;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;0;0;0;1
Jul 28, 2020;1,288E+18;9,02839E+17;"#TRONchievement July 20- July 24

?Total accounts on TRON has surpassed 7M
?3B #TRC20-#USDT &amp; 500k addresses on TRON
?TRON's version of Uniswap ""#JUST swap"" will launch on Aug 17
?#TRON will launch blockchain oracle soon
? #USDJ &amp; #JST yield farming will launch on Aug 31 https://t.co/VV4d8S7utN";;275;36;557;7;['TRONchievement', 'TRC20', 'USDT', 'JUST', 'TRON', 'USDJ', 'JST'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jul 27, 2020;1,28765E+18;9,02839E+17;"Take a look at statistics changed from July 10 to July 23 according to @TRONSCAN_ORG

?Total accounts on #TRON exceeded 7M
?Total transactions reached 1.08 Billion
?Blockheight exceeded 21.7M
?Circulation of #TRC20-#USDT exceeded 3B
More details
https://t.co/IkGqleEYQX";;238;13;535;7;['TRON', 'TRC20', 'USDT'];['TRONSCAN_ORG'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jul 26, 2020;1,28729E+18;9,02839E+17;"The circulation amount of #TRC20-#USDT issued by 
@Tether_to on #TRON network exceeded 3.1 Billion???????????? https://t.co/5LRrA8rAyj";;153;31;536;4;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;0;0;0;1
Jul 13, 2020;1,28258E+18;9,02839E+17;"Check out #TRON Monthly Report of June??

?#TRX is available on @Rightbtc_ 
?TRX can be used on @travalacom
?#TRC20-#USDT circulation exceeded 2.8B
?TRON celebrated 2-year anniversary
?TRX hybrid contract is available on @BiKiEnglish 
#TRONAnniversary
https://t.co/tT30tndiDw";;225;11;442;4;['TRON', 'TRX', 'TRC20', 'USDT', 'TRONAnniversary'];['Rightbtc_', 'travalacom', 'BiKiEnglish'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jun 01, 2020;1,26729E+18;9,02839E+17;"The circulation amount of #TRC20-#USDT issued by 
@Tether_to on #TRON network exceeded 2.3 Billion???????????? https://t.co/293QEhz2w0";;197;20;596;7;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 20, 2020;1,26297E+18;9,02839E+17;"#TRONchievement May 11- May 15

?@binance will support #JUST airdrop to #TRX holders
?#JUST was included in @CoinMarketCap
?Total accounts on #TRON exceeded 5.8M
?#TRC20-#USDT increase is 45% https://t.co/M3dTSNnYiz";;35;22;147;2;['TRONchievement', 'JUST', 'TRX', 'JUST', 'TRON', 'TRC20', 'USDT'];['binance', 'CoinMarketCap'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 15, 2020;1,26119E+18;9,02839E+17;"Statistic changed from May 1 to May 14 according to @TRONSCAN_ORG

?Total accounts on #TRON has exceeded 5,850,000
?Total transactions on #TRON has reached 996M
?Circulation amount of #TRC20-#USDT exceeded 2.1B
?Smart Contract Triggers hit 851M
https://t.co/pkFioQeaCK";;30;26;125;2;['TRON', 'TRON', 'TRC20', 'USDT'];['TRONSCAN_ORG'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 15, 2020;1,26113E+18;9,02839E+17;"#TRONchievement May 4-May 8

?#TRC20-#USDT exceeded 1.4B
?#TRX staking is live on @bitfinex
?@upbitglobal will support $JST airdrop to #TRON users
?#JUST is available on @NewdexOfficial
?#JST became top 3 among all finance #Dapps https://t.co/lNrKc30qZz";;29;15;134;0;['TRONchievement', 'TRC20', 'USDT', 'TRX', 'TRON', 'JUST', 'JST', 'Dapps'];['bitfinex', 'upbitglobal', 'NewdexOfficial'];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 14, 2020;1,26089E+18;9,02839E+17;"The circulation amount of #TRC20-#USDT issued by 
@Tether_to on #TRON network exceeded 2.1 Billion.???????????? https://t.co/LjdIRlS5ud";;50;28;219;3;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 14, 2020;1,26083E+18;9,02839E+17;"The circulation amount of #TRC20- #USDT issued by 
@Tether_to on #TRON network exceeded 1.9 Billion.???????????? https://t.co/SWW035fePi";;39;30;177;1;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 12, 2020;1,2602E+18;9,02839E+17;"#TRON Weekly Report
1. Streamlined lite fullnode snapshot database
2. The circulation of #TRC20-#USDT has exceeded 1.6 billion
3. TRON blockchain height exceeded 19.5 million with a total of 773 nodes across the network.
#TRX $TRX https://t.co/ApRpMgnwY8";[{'type': 'quoted', 'id': '1259798935234727936'}];28;10;120;0;['TRON', 'TRC20', 'USDT', 'TRX'];[];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 12, 2020;1,26012E+18;9,02839E+17;"The circulation amount of #TRC20- #USDT issued by 
@Tether_to on #TRON network exceeded 1.7 Billion.???????????? https://t.co/ddOBWBDUyw";;29;18;156;2;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
May 12, 2020;1,26005E+18;9,02839E+17;"We’re thrilled to announce that https://t.co/TSX5O7j3xc is now supporting #TRON-based $USDT! You can now enjoy the freedom of buying &amp; selling #TRC20-#USDT with your local currency!??????
#TRON #Crypto #TRX #Tether https://t.co/4xZ4z3MnR5";;33;6;108;0;['TRON', 'TRC20', 'USDT', 'TRON', 'Crypto', 'TRX', 'Tether'];[];[None, None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;1;0;0;1
May 06, 2020;1,25792E+18;9,02839E+17;The circulation amount of #TRC20- #USDT issued by @Tether_to on #TRON network exceeded 1.2 Billion. ???????????? https://t.co/zoYSCqUhZT;;42;25;189;1;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
